Platform,Global_Sales
2600,0.4798181818181818
3DS,0.3145
DC,0.42
DS,0.33985119047619045
GB,1.32
GBA,0.3349382716049383
GC,0.38010204081632654
GEN,0.9133333333333334
N64,0.7956756756756758
NES,2.2115384615384617
PC,0.1904968944099379
PS,0.8164935064935065
PS2,0.7896521739130435
PS3,0.8150670241286863
PS4,0.7136065573770491
PSP,0.28875576036866357
PSV,0.1409154929577465
SAT,0.21666666666666667
SNES,0.84
Wii,0.48034782608695653
WiiU,0.30714285714285716
X360,0.7536792452830189
XB,0.31223684210526315
XOne,0.49691176470588233
